case_id,ability_category,Case name,description,difficulty,Synthesize guidance,domain,domains_multi,factor_A1,factor_A2,factor_B1,factor_B2,status
1,skill evolution,skill-creation,Identify patterns from interaction history and create a SKILL from scratch,M,Evaluates the agent's ability to identify patterns from interaction history and create a SKILL from scratch (from examples to rules; inductive reasoning from zero),Documents & Knowledge,Documents & Knowledge ; Coding & Software Dev,0,0,0,1,implemented
2,skill evolution,skill-supplementation,Supplement and update an existing SKILL based on interaction history,M,Evaluates the agent's ability to combine existing SKILLs with interaction history to update its own knowledge base (iterative self-improvement of existing knowledge),Documents & Knowledge,Documents & Knowledge ; Coding & Software Dev,0,0,0,1,implemented
3,skill evolution,skill-conflict-resolution,"Update existing SKILL based on interaction history: identify conflicting content, identify potentially misleading content in the old SKILL version, and update accordingly",E,Evaluates the agent's ability to combine existing SKILLs with interaction history to update its own knowledge base (iterative self-improvement of existing knowledge),Documents & Knowledge,Documents & Knowledge ; Coding & Software Dev,0,0,0,1,implemented
4,skill evolution,skill-repository-curation,"Organize existing SKILL library: merge redundant SKILLs, remove obsolete ones",M,Evaluates the agent's ability to manage existing SKILLs (meta-cognition about the SKILL system),Documents & Knowledge,Documents & Knowledge ; Coding & Software Dev,0,0,0,1,implemented
5,skill evolution,skill-dependency-fix,"After a user modifies a lower-level SKILL, identify the dependency relationships of higher-level SKILLs that call the lower-level SKILL, and update the higher-level SKILLs accordingly",E,Evaluates the model's ability to understand SKILLs with complex nested structures and update them appropriately,Documents & Knowledge,Documents & Knowledge ; Coding & Software Dev,0,0,0,1,implemented
6,proactive decision making,email-writing,Help the user compose and send an email to a specified recipient,E,Evaluates the agent's ability to complete a clear writing and sending task in a single email environment; focuses on basic execution and form completion with verifiable results,Communication & Email,Communication & Email,0,0,0,0,implemented
7,proactive decision making,email-reply,Check if an expected email exists; if so compose and send a reply,E,Evaluates the agent's ability to perform information retrieval and conditional judgment in an email environment; focuses on the read-write loop and state judgment,Communication & Email,Communication & Email,0,0,0,0,implemented
8,proactive decision making,flight-booking,Help the user book a flight for a specified date and route,M,Evaluates the agent's ability to complete a single-environment booking task in an airline environment; focuses on search filtering and booking execution,E-commerce & Daily Svcs,E-commerce & Daily Svcs,0,0,0,0,implemented
9,cross environment composition,flight-seat-selection,"Help the user check in and select a seat for a specified booked flight; first retrieve the booking details from email, then select a seat on the airline website according to user requirements",E,Evaluates the agent's ability to complete information extraction and seat selection across email and airline environments; focuses on cross-environment composition,E-commerce & Daily Svcs,E-commerce & Daily Svcs ; Communication & Email,1,0,0,0,implemented
10,proactive decision making,flight-seat-selection-failed,"Help the user check in and select a seat for a specified booked flight; first retrieve the booking details from email, then select a seat on the airline website; when user seat requirements cannot be met, find the best alternative",H,Evaluates the agent's ability to handle constraint failures and propose alternatives in a cross-environment task; focuses on proactive decision making and robust execution,E-commerce & Daily Svcs,E-commerce & Daily Svcs ; Communication & Email,1,0,1,0,implemented
11,proactive decision making,flight-cancel-claim,"Check the status of a booked flight; if the flight is cancelled, help the user file a compensation claim according to the airline website announcement",H,Evaluates the agent's ability to detect anomalies in email and airline environments and complete a follow-up compensation process; focuses on proactive checking and multi-step execution,E-commerce & Daily Svcs,E-commerce & Daily Svcs ; Communication & Email,1,0,1,0,implemented
12,cross environment composition,flight-info-change-notice,"Check the inbox for flight status change notifications from the airline; if found, check the calendar for affected plans and notify co-travelers",E,Evaluates the agent's ability to handle flight changes across Email/Airline/Calendar environments; focuses on cross-environment composition and proactive decision making,Calendar & Task Mgmt,Calendar & Task Mgmt ; Communication & Email ; E-commerce & Daily Svcs,1,0,1,0,implemented
13,proactive decision making,baggage-tracking-application,Find a way to register lost luggage with the airline on its website,E,Evaluates the agent's ability to autonomously explore pages in an airline environment and locate the correct process to complete baggage registration; focuses on long-chain execution and verifiable results,E-commerce & Daily Svcs,E-commerce & Daily Svcs,0,0,1,0,implemented
14,cross environment composition,schedule-change-request,"A schedule change requires the agent to find conflicting calendar entries, email relevant parties to inform them of the change, and explain the reason",M,Evaluates the agent's ability to identify conflicts and coordinate communication across Calendar and Email environments; focuses on cross-environment composition and proactive coordination,Calendar & Task Mgmt,Calendar & Task Mgmt ; Communication & Email,1,0,0,0,implemented
15,cross environment composition,blog-site-from-scratch,"Build a blog site from scratch: Astro frontend, Node.js backend, SQLite database; support regular user/editor/admin roles; support posting, keyword search, Markdown rendering, email registration/login, personal dashboard; editors can delete posts, admins can appoint editors, all pages support mutual navigation",E,"Test cases synthesized from a complete blog site repository, then all code is removed to create a from-scratch development task; evaluates the agent's ability to perform full-stack system design, implementation, integration and role permission management under a specified tech stack",Coding & Software Dev,Coding & Software Dev,0,0,0,0,implemented
16,reflective diagnosis,blog-site-completion-from-starter,"Starting from a blog code skeleton, implement complete blog features: Astro frontend, Node.js backend, SQLite database; fill in user/editor/admin role permissions, search, Markdown rendering and other functionality",E,"Test cases synthesized from a complete blog site repository with some code deleted and bugs injected to create a fix-and-complete task; evaluates the agent's ability to diagnose, fix and complete functionality on top of existing code",Coding & Software Dev,Coding & Software Dev,0,1,0,0,implemented
17,proactive decision making,washer-shop,Buy a washing machine from Mosi Shop with a rating of at least 4.6 and portable,E,Single-environment short-step shopping task built on shop mock environment; evaluates the agent's ability to search and filter based on structured constraints and complete a purchase,E-commerce & Daily Svcs,E-commerce & Daily Svcs,0,0,0,0,implemented
18,proactive decision making,watch-shop,Buy a smartwatch from Mosi Shop with a rating of at least 4.6 and the lowest price,E,Single-environment short-step shopping task built on shop mock environment; evaluates the agent's ability to price-compare and complete a purchase while satisfying a rating constraint,E-commerce & Daily Svcs,E-commerce & Daily Svcs,0,0,0,0,implemented
19,proactive decision making,washer-change,"The purchased item is not portable enough; exchange it for a washing machine rated at least 4.6 and portable, completing the return and re-ordering",E,"Single-environment after-sales task built on shop mock environment; evaluates the agent's ability to handle order lookup, return process, and re-purchase of an alternative item",E-commerce & Daily Svcs,E-commerce & Daily Svcs,0,0,0,0,implemented
20,proactive decision making,info-change,"Change shipping address to '4278 Maple View Drive, Sacramento, CA 95814, USA' and phone number to '12345678901'",E,Single-environment profile update task built on shop mock environment; evaluates the agent's ability to precisely locate and update user information in account settings,E-commerce & Daily Svcs,E-commerce & Daily Svcs,0,0,0,0,implemented
21,cross environment composition,email-watch-shop,Read brian.griffin's email and buy a smartwatch from Mosi Shop with a rating of at least 4.6 and the lowest price,H,Multi-environment task combining email mock and shop mock; evaluates the agent's ability to first understand email context then complete a constrained purchase across environments,E-commerce & Daily Svcs,E-commerce & Daily Svcs ; Communication & Email,1,0,0,0,implemented
