date,region,product,quantity,unit_price,unit_cost,discount
2024-01-05,North,Widget-A,120,25.50,12.00,0.05
2024-01-05,South,Widget-B,85,18.00,9.50,0.00
2024-01-08,North,Widget-C,200,42.00,20.00,0.10
2024-01-08,East,Widget-A,95,25.50,12.00,0.00
2024-01-12,West,Widget-B,150,18.00,9.50,0.05
2024-01-12,South,Widget-A,60,25.50,12.00,0.00
2024-01-15,North,Widget-D,30,99.00,55.00,0.15
2024-01-15,East,Widget-C,175,42.00,20.00,0.00
2024-01-20,West,Widget-A,110,25.50,12.00,0.10
2024-01-20,North,Widget-B,200,18.00,9.50,0.05
2024-01-25,South,Widget-D,45,99.00,55.00,0.00
2024-01-25,East,Widget-B,130,18.00,9.50,0.00
2024-01-28,West,Widget-C,90,42.00,20.00,0.05
2024-01-28,North,Widget-A,180,25.50,12.00,0.00
2024-02-01,South,Widget-C,160,42.00,20.00,0.10
2024-02-01,East,Widget-D,25,99.00,55.00,0.00
2024-02-05,West,Widget-D,55,99.00,55.00,0.05
2024-02-05,North,Widget-C,140,42.00,20.00,0.00
2024-02-10,South,Widget-A,75,25.50,12.00,0.00
2024-02-10,East,Widget-A,90,25.50,12.00,0.05
