transaction_id,date,product_id,product_name,category,quantity,unit_price,region,channel
TXN-1000,2024-01-29,P999,USB-C Hub,Electronics,1,43.26,East,online
TXN-1001,2024-01-04,P009,Whiteboard Markers (8pk),Office,3,-11.49,West,online
TXN-1002,2024-03-24,P010,Ergonomic Chair Cushion,Furniture,1,27.38,South,wholesale
TXN-1003,2024-01-21,P008,Webcam HD,Electronics,19,58.56,East,online
TXN-1004,2024-01-12,P003,Mechanical Keyboard,Electronics,7,81.34,East,online
TXN-1005,2024-02-28,P006,Desk Lamp LED,Furniture,20,34.85,East,online
TXN-1006,2024-03-20,P007,Monitor Stand,Furniture,3,54.25,East,wholesale
TXN-1007,2024-01-30,P004,Notebook A5,Office,3,5.98,North,wholesale
TXN-1008,2024-02-28,P004,Notebook A5,Office,4,5.42,West,retail
TXN-1009,2024-02-04,P006,Desk Lamp LED,Furniture,12,33.33,South,wholesale
TXN-1010,2024-02-01,P999,USB-C Hub,Electronics,20,45.34,South,wholesale
TXN-1011,2024-01-30,P009,Whiteboard Markers (8pk),Office,8,12.61,East,online
TXN-1012,2024-03-13,P007,Monitor Stand,Furniture,9,53.82,North,online
TXN-1013,2024-02-28,P004,Notebook A5,Office,4,5.42,West,retail
TXN-1014,2024-02-21,P005,Ballpoint Pen (12pk),Office,19,8.99,West,wholesale
TXN-1015,2024-01-07,P003,Mechanical Keyboard,Electronics,17,78.55,West,online
TXN-1016,2024-02-18,P003,Mechanical Keyboard,Electronics,14,82.81,North,retail
TXN-1017,2024-01-15,P005,Ballpoint Pen (12pk),Office,18,8.37,North,wholesale
TXN-1018,2024-02-25,P999,Ballpoint Pen (12pk),Office,11,7.65,North,retail
TXN-1019,2024-01-14,P005,Ballpoint Pen (12pk),Office,17,8.04,South,wholesale
TXN-1020,2024-02-17,P009,Whiteboard Markers (8pk),Office,20,12.09,South,online
TXN-1021,2024-02-04,P006,Desk Lamp LED,Furniture,12,33.33,South,wholesale
TXN-1022,2024-01-11,P004,Notebook A5,Office,2,-5.53,South,wholesale
TXN-1023,2024-03-25,P002,USB-C Hub,Electronics,18,46.61,South,online
TXN-1024,2024-03-10,P005,Ballpoint Pen (12pk),Office,17,8.57,West,online
TXN-1025,2024-03-07,P005,Ballpoint Pen (12pk),Office,13,7.98,East,retail
TXN-1026,2024-03-11,P002,USB-C Hub,Electronics,11,44.14,North,wholesale
TXN-1027,2024-01-05,P002,USB-C Hub,Electronics,2,43.02,South,online
TXN-1028,2024-02-25,P999,Ballpoint Pen (12pk),Office,11,7.65,North,retail
TXN-1029,2024-02-22,P010,Ergonomic Chair Cushion,Furniture,16,25.93,South,retail
TXN-1030,2024-02-29,P007,Monitor Stand,Furniture,12,51.48,West,retail
TXN-1031,2024-02-13,P002,USB-C Hub,Electronics,2,43.31,West,wholesale
TXN-1032,2025-12-31,P004,Notebook A5,Office,7,5.51,West,online
TXN-1033,2024-03-24,P002,USB-C Hub,Electronics,15,48.76,North,online
TXN-1034,2024-03-03,P002,USB-C Hub,Electronics,8,48.98,South,retail
TXN-1035,2024-02-19,P001,Wireless Mouse,Electronics,6,24.18,West,online
TXN-1036,2024-03-12,P008,Webcam HD,Electronics,10,59.99,West,wholesale
TXN-1037,2024-03-15,P004,Notebook A5,Office,10,5.15,South,online
TXN-1038,2024-03-02,P006,Desk Lamp LED,Furniture,2,34.22,North,wholesale
TXN-1039,2024-01-09,P003,Mechanical Keyboard,Electronics,2,85.61,North,online
TXN-1040,2024-02-01,P004,Notebook A5,Office,13,5.13,North,wholesale
TXN-1041,2024-01-27,P002,USB-C Hub,Electronics,14,44.85,East,retail
TXN-1042,2024-03-23,P005,Ballpoint Pen (12pk),Office,13,8.07,South,wholesale
TXN-1043,2024-03-13,P002,USB-C Hub,Electronics,1,43.04,West,wholesale
TXN-1044,2024-02-14,P004,Notebook A5,Office,17,5.88,East,online
TXN-1045,2024-03-10,P006,Desk Lamp LED,Furniture,10,32.95,South,retail
TXN-1046,2024-01-14,P009,Whiteboard Markers (8pk),Office,1,11.3,East,wholesale
TXN-1047,2024-02-06,P002,USB-C Hub,Electronics,4,47.87,South,retail
TXN-1048,2024-01-07,P004,Notebook A5,Office,9,-5.47,West,retail
TXN-1049,2024-01-17,P005,Ballpoint Pen (12pk),Office,2,7.99,North,retail
TXN-1050,2024-02-14,P004,Notebook A5,Office,17,5.88,East,online
TXN-1051,2024-03-15,P003,Mechanical Keyboard,Electronics,18,82.29,North,retail
TXN-1052,2024-02-15,P001,Wireless Mouse,Electronics,10,22.18,East,online
TXN-1053,2024-01-20,P002,USB-C Hub,Electronics,12,44.27,West,wholesale
TXN-1054,2024-01-23,P003,Mechanical Keyboard,Electronics,6,80.98,West,online
TXN-1055,2024-03-30,P007,Monitor Stand,Furniture,8,-58.84,East,online
TXN-1056,2024-02-14,P008,Webcam HD,Electronics,8,62.99,South,retail
TXN-1057,2024-01-25,P004,Notebook A5,Office,8,5.34,North,wholesale
TXN-1058,2024-03-06,P002,USB-C Hub,Electronics,9,49.85,East,wholesale
TXN-1059,2025-12-31,P009,Whiteboard Markers (8pk),Office,11,12.92,North,online
TXN-1060,2024-02-25,P005,Ballpoint Pen (12pk),Office,2,8.7,North,wholesale
TXN-1061,2024-03-14,P007,Monitor Stand,Furniture,20,51.39,North,retail
TXN-1062,2024-02-25,,Monitor Stand,Furniture,1,56.97,South,retail
TXN-1063,2024-01-16,P006,Desk Lamp LED,Furniture,20,31.32,East,wholesale
TXN-1064,2024-03-30,P005,Ballpoint Pen (12pk),Office,14,7.81,East,retail
TXN-1065,2024-03-13,P007,Monitor Stand,Furniture,13,55.92,South,wholesale
TXN-1066,2024-02-25,P001,Wireless Mouse,Electronics,10,23.52,East,online
TXN-1067,2024-03-27,P006,Desk Lamp LED,Furniture,15,32.23,West,retail
TXN-1068,2024-03-25,P003,Mechanical Keyboard,Electronics,3,81.02,East,wholesale
TXN-1069,2024-01-19,P004,Notebook A5,Office,,5.31,South,online
TXN-1070,2024-02-23,P008,Webcam HD,Electronics,20,60.85,North,retail
TXN-1071,2024-01-19,P007,Monitor Stand,Furniture,16,51.04,West,online
TXN-1072,2024-03-30,P002,USB-C Hub,Electronics,14,42.87,South,online
TXN-1073,2024-02-29,P004,Notebook A5,Office,4,5.98,West,online
TXN-1074,2024-03-05,P010,Ergonomic Chair Cushion,Furniture,11,29.57,West,wholesale
TXN-1075,2024-02-03,P008,Webcam HD,Electronics,6,63.43,West,retail
TXN-1076,2024-01-31,P005,Ballpoint Pen (12pk),Office,17,7.75,West,wholesale
TXN-1077,2024-02-10,P005,Ballpoint Pen (12pk),Office,8,7.75,East,retail
TXN-1078,2024-01-20,P003,Mechanical Keyboard,Electronics,8,77.36,West,wholesale
TXN-1079,2024-01-08,P007,Monitor Stand,Furniture,11,54.77,West,retail
TXN-1080,2024-01-01,P010,Ergonomic Chair Cushion,Furniture,1,26.83,West,retail
TXN-1081,2024-01-29,P007,Monitor Stand,Furniture,14,55.36,South,retail
TXN-1082,2024-01-22,P007,Monitor Stand,Furniture,11,59.27,West,wholesale
TXN-1083,2024-03-16,P010,Ergonomic Chair Cushion,Furniture,18,25.61,North,retail
TXN-1084,2024-01-07,P007,Monitor Stand,Furniture,5,53.94,West,online
TXN-1085,2024-02-05,P008,Webcam HD,Electronics,11,63.35,East,retail
TXN-1086,2024-03-10,,Ballpoint Pen (12pk),Office,3,8.93,West,online
TXN-1087,2024-02-01,P004,Notebook A5,Office,3,5.11,North,online
TXN-1088,2025-12-31,P009,Whiteboard Markers (8pk),Office,11,12.92,North,online
TXN-1089,2024-03-18,P005,Ballpoint Pen (12pk),Office,12,8.61,South,wholesale
TXN-1090,2024-01-04,P003,Mechanical Keyboard,Electronics,10,84.26,North,wholesale
TXN-1091,2024-03-16,P007,Monitor Stand,Furniture,13,56.64,South,online
