xc,提交人,id,task instruction,potential solution path,verification method,data synth req,involved other task domain ,involved mock service,complexity factors,
E-commerce & Daily Services,,flight-seat-selection,"""I recently booked a flight and received a booking notification in my company email system (http://localhost:5174/, open it in browser). Please help me complete the check-in and seat selection. I'd like a window seat.""",Open email system in browser → find GKD Airlines booking notification → extract flight/booking info → navigate to airline system → complete check-in → select a window seat,"Query database for a Booking record with status=""checked_in"". Binary: 1.0 if exists, 0.0 otherwise","1. booking notification e-mail & other background e-mails
2. flight info inside airline system, especially the one booked
3. seat position ui matched plane type",,"email-app, airline-app",A1,
E-commerce & Daily Services,,flight-info-change-notice,"""Please check my company email (http://localhost:5174/, open it in browser) to see if I have received any recent emails from GKD Airlines. If there are any notifications regarding flight changes, please check if the changes affect my schedule (you can view my schedule in http://localhost:3000/). If necessary, you can send an email to remind my fellow travelers.""",Open email in browser → read flight change details → open calendar system to check schedule conflicts → identify affected co-travelers → send notification emails to 4 travelers,"Check database for outbound emails to 4 target addresses (marytheshot@gmail.com, jason.wang97@mail.ucsd.edu, karre8523@outlook.com, gaeuala@outlook.com). +1.0 per recipient, max 4.0. B1 factor: the instruction only says ""if necessary, remind fellow travelers"" — agent must infer who the travelers are and what to communicate",1,Calendar & Task Mgmt,"email-app, airline-app, calender-app","A1,B1",
Health & Wellness,Gao Ying,fitness-comprehensive,"I recently synced my wearable fitness device, and my health data is available in my health app (http://localhost:5174/, open it in browser). The app includes my heart rate, sleep patterns, activity levels, calorie expenditure, and allergen records. I also track my meals and habits in a diet logging app within the system. In addition, my calendar (http://localhost:3000/) contains my daily schedule and availability. Based on all this information and my goal to lose fat while gaining muscle over the next 8 weeks, please help me: (1) analyze my current health and lifestyle condition, (2) generate a personalized fitness and diet plan (considering my allergens), (3) schedule appropriate workout sessions based on my availability, and (4) save the workout plan into my calendar.","Open health app in browser -> extract wearable data (heart rate, sleep, activity, calories, allergens) -> open diet logging app -> extract diet and habit data -> open calendar -> analyze busy/free time slots -> interpret goal (fat loss + muscle gain, 8-week duration) -> generate structured fitness and diet plan excluding allergens -> map workout plan to available time slots -> create workout events -> save events into calendar system (with linked_plan_id).","1.Non-overlap Check: Query calendar. Count events where type='workout'. For each event, verify startTime and endTime do not overlap with any existing busy events. (Score = Valid_Events / Total_Required)
2.Allergen Scrub: String match diet_plan against the user's allergen_list. Any hit results in a 0.0 score for the diet portion. If the conflict between allergen and eating habits isn't discovered (e.g. whey protein is still in diet plan), score 0.0.
3.Plausibility Check: Ensure workouts are scheduled at reasonable  hours and intensity (no workouts before 6AM, no HIIT(user is exhausted)).
4.Output: Weighted average of the above checks. 1.0 only if all constraints are met.","1) Wearable health app data: heart rate (resting/active), sleep duration/quality, steps/activity level, calorie expenditure;  the heart rate data must indicate that user has been in exhausted state; 2) Diet logging app data: meal records, calorie intake, eating patterns/habits, allergen records; allergen must include dairy product and eating habits must include whey protein; 3) Constraint-heavy Calendar: Synthesize a 40-hour work week + 1.5-hour daily commute + specific social engagements. This ensures there are only 5-6 valid ""slots"" per week for a 1-hour workout.",Calendar & Task Management,health-app; diet-app; calendar-app,"A1, A3, B1, A2",
Health & Wellness,Gao Ying,medication-reminder,"I recently received an updated prescription from my doctor and got the notification in my company email system (http://localhost:5174/, open it in browser). Please help me review the latest prescription, compare it with the previous one, and update my medication reminders accordingly in my health app or calendar (http://localhost:3000/).","Open email system in browser -> find latest doctor prescription email -> find previous prescription email -> extract medication details (name, dosage, frequency, timing) from both -> compare differences -> identify required updates -> open health app or calendar -> update medication reminders (add/update/remove) -> confirm outdated reminders are removed.","Verification (binary): query database for MedicationReminder records that match the latest prescription details (dosage, frequency, timing) and ensure no outdated reminders remain. Output 1.0 if all reminders reflect the latest prescription and obsolete ones are removed/updated, 0.0 otherwise.","1) Email system data: latest prescription notification email plus prior prescription email; 2) Email contents: medication name, dosage, frequency, timing for both versions; 3) Reminder system data: MedicationReminder records and UI in health app and/or calendar.",Communication & Email; Calendar & Task Management,email-app; health-app; calendar-app,"A2, C1",
Health & Wellness,Gao Ying,medication-diet-reminder,"I have a doctor prescription in my email (http://localhost:5174/, open it in browser). I need my medication reminders to match it, and I also want a diet/meal plan created in my Diet app that avoids foods that conflict with the prescribed medications. Please update medication reminders in health app and write the diet plan into the diet app. Ensure you capture any specific dietary instructions or safety warnings mentioned in the prescription or standard medical guidelines for these drugs, take notes in the medication reminder.","Open email system -> extract prescribed medications (name, dosage, schedule) -> Identify potential food-drug interactions or administration instructions (e.g., take with food, avoid alcohol) -> open health app-> create or update medication reminders with correct fields -> remove outdated reminders -> open diet -> generate a diet_plan/meal_plan record with daily meals (breakfast/lunch/dinner) and ingredient list -> validate ingredients against food-drug interaction rules for the prescribed drugs -> revise plan until no conflicts -> save the diet plan record.","Primary check (binary): (A) Medication reminders: in Health App/Calendar, verify reminder events type='medication' with fields medication_name/dosage/schedule/notes; validate all prescribed meds are covered and timing/frequency match the prescription&notes contain keyword ""alcohol"" or ""drink""; (B) Diet plan output: in Diet/Nutrition app, verify a created record type='diet_plan' or 'meal_plan' containing daily meals and ingredient list; validate there are zero foods conflicting with prescribed medications. If diet contains alcohol, fail. Output 1.0 if both (A) and (B) pass, else 0.0.",1) Email system data: prescription email content; must contain Cephalosporin(to check if alcohol is correctly avoided in diet) 2) Reminder system data: MedicationReminder records with medication_name/dosage/schedule and UI in health app.; 3) Diet/Nutrition app data: diet_plan/meal_plan creation surface and stored record; 4) Drug-food conflict knowledge base: rule table/API for conflict checks.,Communication & Email; Calendar & Task Management,email-app; health-app; calendar-app; diet-app,"A1, B1, C2",
Health & Wellness,Gao Ying,smart-home-morning-recovery,"I didn't sleep well last night and feel physically exhausted, though my calendar (http://localhost:3000/) shows a high-intensity workday. Please change my room thermostat, adjust my workout to a safe intensity and delay my coffee machine by at least 20 minutes to optimize cortisol levels. ",Open wearable dashboard -> check last night's sleep quality and recovery indicators -> open calendar -> assess today's schedule intensity -> read current room conditions -> determine recovery need -> adjust workout plan to low impact -> delay coffee machine start time by >= 20 minutes -> apply all changes to system.,"Verification (binary): query system states and validate all: thermostat.mode='comfort'; coffee.start_time delayed by >= 20 minutes from the prior schedule; workout plan in calendar should not include hiit(high heart rate exercise) . Output 1.0 if all satisfied, 0.0 otherwise.","1) Wearable device data: sleep quality, heart rate, recovery indicators; 2) Calendar data: daily schedule intensity and availability; workout plan(include workout type such as hiit); 3) Smart home device states: thermostat and coffee machine.",Calendar & Task Management; E-commerce & Daily Services,health-app; calendar-app; smart-home-app,"A1, A2, C2",
Health & Wellness,Gao Ying,grocery-budget-plan,"I want to follow a fat-loss diet plan for the next 7 days. I have a calorie target, macro goals (protein, carbs, fat), a weekly budget limit, and some food allergies. My smart fridge system (http://localhost:5174/, open it in browser) already tracks my current food inventory. Please use that information to generate a 7-day meal plan (breakfast, lunch, dinner). If ingredients are missing, check the online grocery system and place an order within my budget. Avoid any allergens, and if some items are out of stock, find suitable substitutions. Make sure the final plan meets my nutrition goals and stays within budget.","Open smart fridge system in browser -> retrieve current inventory (name, quantity, expiry) -> read user's nutrition targets, budget, and allergy constraints -> generate initial 7-day meal plan -> derive required ingredient quantities -> diff against inventory -> query grocery system for price and availability -> substitute out-of-stock items using substitution mapping -> optimize selection under budget constraint -> place grocery order -> finalize meal plan with updated ingredients and purchases.",Structured verification with combined scoring: Nutrition goal satisfaction (continuous 0-1 based on calories/macros deviation); Budget constraint (0-1 based on total cost vs budget); Allergen avoidance (binary 1.0 if zero allergen ingredients else 0.0); Inventory utilization (continuous 0-1 fraction using inventory items); Substitution handling (continuous 0-1 based on successful replacements for out-of-stock). Final Score = 0.3*Nutrition + 0.2*Budget + 0.2*Allergen + 0.15*InventoryUsage + 0.15*Substitution.,"1) User profile data: calorie target, macro targets, allergies, weekly budget; 2) Smart fridge inventory data: ingredient name, quantity, expiration date, category; 3) Grocery system data: product catalog (name, price, nutrition), stock availability, substitution mapping; 4) Recipe/meal composition database: ingredients -> meals, nutrition breakdown per meal; 5) UI simulation: fridge dashboard (inventory view), grocery ordering interface (cart, checkout); 6) Edge cases: random out-of-stock items, price fluctuations, expiring ingredients priority.",E-commerce & Daily Services; Finance & Data Analysis,smart-home-app; shop-web,"A3, B1, C1",
Health & Wellness,Gao Ying,fitness-daily-steps,"Check my health app for today's step count. If it's below 10000 steps, schedule a 30-minute walk in my calendar (http://localhost:3000/) for this evening.",Open health app -> read steps -> check if < 10000 -> open calendar -> find evening slot -> create 'walk' event.,Verify calendar event 'walk' exists in evening if steps < 10000.,Health app data: steps. Calendar data: evening availability.,Calendar & Task Management,health-app; calendar-app,,
Health & Wellness,Gao Ying,nutrition-log-meal,I just had a chicken salad and a glass of milk for lunch. Please log this into my diet logging app.,Open diet logging app -> create meal entry for lunch -> add 'chicken salad' and 'milk'.,Verify diet log database contains a lunch entry with 'chicken salad' and 'milk'.,Diet logging app UI/API.,Documents & Knowledge,diet-app,"
",
Health & Wellness,Gao Ying,fitness-hydration,"Check my wearable app for yesterday's workout intensity. Since it was a heavy workout, please add 3 hydration reminders evenly spaced throughout today in my calendar (http://localhost:3000/).",Open wearable app -> read workout intensity -> open calendar -> schedule 3 hydration reminders today.,Query calendar for 3 'hydration' reminder events today.,Wearable app workout data. Calendar schedules.,Calendar & Task Management,health-app; calendar-app,,
